 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.04E-02   6.10E-05   1.42E-07   9.58E-12   5.50E-13   1.68E-13
   Max.:          9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  -180    -179    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -179    -178    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -178    -177    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -177    -176    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -176    -175    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -175    -174    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -174    -173    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -173    -172    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -172    -171    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -171    -170    1.05E-02   7.34E-05   1.43E-07   9.60E-12   5.50E-13   1.91E-13
  -170    -169    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -169    -168    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -168    -167    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -167    -166    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -166    -165    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -165    -164    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -164    -163    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -163    -162    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -162    -161    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -161    -160    1.25E-02   7.25E-05   2.24E-07   1.55E-11   1.13E-12   3.64E-13
  -160    -159    1.63E-02   6.10E-05   1.49E-07   2.83E-11   6.82E-13   1.93E-13
  -159    -158    1.63E-02   6.10E-05   1.49E-07   2.83E-11   6.82E-13   1.93E-13
  -158    -157    1.63E-02   6.10E-05   1.49E-07   2.83E-11   6.82E-13   1.93E-13
  -157    -156    1.63E-02   6.10E-05   1.49E-07   2.83E-11   6.82E-13   1.93E-13
  -156    -155    1.63E-02   6.10E-05   1.49E-07   2.83E-11   6.82E-13   1.93E-13
  -155    -154    1.63E-02   6.10E-05   1.49E-07   2.83E-11   6.82E-13   1.93E-13
  -154    -153    1.63E-02   6.10E-05   1.49E-07   2.83E-11   6.82E-13   1.93E-13
  -153    -152    1.63E-02   6.10E-05   1.49E-07   2.83E-11   6.82E-13   1.93E-13
