 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
   Max.:          1.84E+03   8.21E+00   5.10E-02   9.93E-06   8.73E-07   3.23E-07
 ------  ------   --------   --------   --------   --------   --------   --------  
   0.0     0.1    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.1     0.2    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.2     0.3    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.3     0.4    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.4     0.5    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.5     0.6    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.6     0.7    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.7     0.8    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.8     0.9    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   0.9     1.0    1.90E+01   8.20E-02   3.36E-04   8.71E-08   4.37E-09   1.72E-09
   1.0     1.1    1.00E+02   4.44E-01   2.84E-03   6.08E-07   5.83E-08   2.21E-08
   1.1     1.2    1.00E+02   4.44E-01   2.84E-03   6.08E-07   5.83E-08   2.21E-08
   1.2     1.3    1.00E+02   4.44E-01   2.84E-03   6.08E-07   5.83E-08   2.21E-08
   1.3     1.4    1.00E+02   4.44E-01   2.84E-03   6.08E-07   5.83E-08   2.21E-08
   1.4     1.5    1.00E+02   4.44E-01   2.84E-03   6.08E-07   5.83E-08   2.21E-08
