 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.25E-02   2.14E-04   1.27E-07   2.82E-11   3.90E-13   1.53E-13
   Max.:          3.25E+02   6.38E+00   3.08E-02   1.86E-06   7.23E-08   1.45E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  -180    -179    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -179    -178    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -178    -177    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -177    -176    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -176    -175    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -175    -174    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -174    -173    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -173    -172    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -172    -171    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -171    -170    2.25E-02   2.14E-04   1.27E-07   2.82E-11   4.01E-13   1.56E-13
  -170    -169    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -169    -168    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -168    -167    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -167    -166    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -166    -165    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -165    -164    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -164    -163    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -163    -162    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -162    -161    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -161    -160    2.49E-02   2.78E-04   1.62E-07   3.18E-11   9.35E-13   2.95E-13
  -160    -159    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -159    -158    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -158    -157    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -157    -156    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -156    -155    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -155    -154    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -154    -153    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -153    -152    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -152    -151    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -151    -150    3.10E-02   3.45E-04   1.64E-07   4.45E-11   8.34E-13   2.08E-13
  -150    -149    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -149    -148    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -148    -147    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -147    -146    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -146    -145    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -145    -144    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -144    -143    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -143    -142    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -142    -141    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -141    -140    5.66E-02   8.24E-04   9.57E-07   7.67E-11   1.31E-12   2.78E-13
  -140    -139    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -139    -138    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -138    -137    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -137    -136    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -136    -135    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -135    -134    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -134    -133    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -133    -132    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -132    -131    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -131    -130    1.04E-01   9.65E-04   1.43E-06   1.48E-10   2.10E-12   2.89E-13
  -130    -129    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -129    -128    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -128    -127    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -127    -126    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -126    -125    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -125    -124    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -124    -123    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -123    -122    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -122    -121    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -121    -120    1.38E-01   9.84E-04   1.90E-06   2.90E-10   3.56E-12   4.51E-13
  -120    -119    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -119    -118    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -118    -117    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -117    -116    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -116    -115    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -115    -114    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -114    -113    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -113    -112    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -112    -111    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -111    -110    1.94E-01   1.33E-03   3.83E-06   7.41E-10   6.44E-12   7.68E-13
  -110    -109    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -109    -108    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -108    -107    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -107    -106    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -106    -105    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -105    -104    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -104    -103    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
