 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  --------   --------   --------   --------
  1.00E-05   2.55E+04   2.30E+03   2.30E+03
  1.02E-05   2.49E+04   2.24E+03   2.24E+03
  1.05E-05   2.43E+04   2.18E+03   2.18E+03
  1.07E-05   2.38E+04   2.13E+03   2.13E+03
  1.10E-05   2.32E+04   2.07E+03   2.07E+03
  1.12E-05   2.26E+04   2.02E+03   2.02E+03
  1.15E-05   2.21E+04   1.96E+03   1.96E+03
  1.17E-05   2.15E+04   1.91E+03   1.91E+03
  1.20E-05   2.10E+04   1.86E+03   1.86E+03
  1.23E-05   2.05E+04   1.81E+03   1.81E+03
  1.26E-05   1.99E+04   1.76E+03   1.76E+03
  1.29E-05   1.94E+04   1.71E+03   1.71E+03
  1.32E-05   1.89E+04   1.66E+03   1.66E+03
  1.35E-05   1.84E+04   1.61E+03   1.61E+03
  1.38E-05   1.79E+04   1.56E+03   1.56E+03
  1.41E-05   1.74E+04   1.51E+03   1.51E+03
  1.45E-05   1.69E+04   1.47E+03   1.47E+03
  1.48E-05   1.64E+04   1.42E+03   1.42E+03
  1.51E-05   1.59E+04   1.38E+03   1.38E+03
  1.55E-05   1.55E+04   1.34E+03   1.34E+03
  1.58E-05   1.50E+04   1.29E+03   1.29E+03
  1.62E-05   1.46E+04   1.25E+03   1.25E+03
  1.66E-05   1.41E+04   1.21E+03   1.21E+03
  1.70E-05   1.37E+04   1.17E+03   1.17E+03
  1.74E-05   1.33E+04   1.14E+03   1.14E+03
  1.78E-05   1.29E+04   1.10E+03   1.10E+03
  1.82E-05   1.25E+04   1.06E+03   1.06E+03
  1.86E-05   1.21E+04   1.03E+03   1.03E+03
  1.91E-05   1.17E+04   9.91E+02   9.91E+02
  1.95E-05   1.13E+04   9.57E+02   9.57E+02
  2.00E-05   1.10E+04   9.24E+02   9.24E+02
  2.04E-05   1.06E+04   8.92E+02   8.92E+02
  2.09E-05   1.03E+04   8.61E+02   8.61E+02
  2.14E-05   9.94E+03   8.31E+02   8.30E+02
  2.19E-05   9.61E+03   8.01E+02   8.01E+02
  2.24E-05   9.29E+03   7.73E+02   7.72E+02
  2.29E-05   8.98E+03   7.45E+02   7.45E+02
  2.34E-05   8.67E+03   7.18E+02   7.18E+02
  2.40E-05   8.38E+03   6.92E+02   6.92E+02
  2.45E-05   8.09E+03   6.66E+02   6.66E+02
  2.51E-05   7.81E+03   6.42E+02   6.42E+02
  2.57E-05   7.54E+03   6.18E+02   6.18E+02
  2.63E-05   7.27E+03   5.95E+02   5.95E+02
  2.69E-05   7.02E+03   5.73E+02   5.73E+02
  2.75E-05   6.77E+03   5.51E+02   5.51E+02
  2.82E-05   6.53E+03   5.30E+02   5.30E+02
  2.88E-05   6.29E+03   5.10E+02   5.10E+02
  2.95E-05   6.07E+03   4.90E+02   4.90E+02
  3.02E-05   5.85E+03   4.72E+02   4.72E+02
  3.09E-05   5.64E+03   4.53E+02   4.53E+02
