 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
   Max.:          1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
 ------  ------   --------   --------   --------   --------   --------   --------  
   0.0     0.1    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.1     0.2    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.2     0.3    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.3     0.4    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.4     0.5    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.5     0.6    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.6     0.7    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.7     0.8    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.8     0.9    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   0.9     1.0    1.06E+02   2.51E+00   1.26E-02   3.42E-07   1.26E-08   1.63E-09
   1.0     1.1    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.1     1.2    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.2     1.3    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.3     1.4    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.4     1.5    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.5     1.6    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.6     1.7    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.7     1.8    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.8     1.9    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   1.9     2.0    3.26E+02   6.27E+00   2.82E-02   1.98E-06   8.63E-08   1.87E-08
   2.0     2.1    4.54E+02   7.37E+00   2.85E-02   1.98E-06   1.14E-07   1.99E-08
   2.1     2.2    4.54E+02   7.37E+00   2.85E-02   1.98E-06   1.14E-07   1.99E-08
   2.2     2.3    4.54E+02   7.37E+00   2.85E-02   1.98E-06   1.14E-07   1.99E-08
   2.3     2.4    4.54E+02   7.37E+00   2.85E-02   1.98E-06   1.14E-07   1.99E-08
